Task,Prompt,Model,Response,Duration (s),GPU Utilization (%),GPU Power (W),VRAM Usage (MB),CPU Utilization (%),CPU Power (j)
classification,Classify the sentiment of the following text: 'I love this product!',mistralai/Mistral-7B-Instruct-v0.3,"Classify the sentiment of the following text: 'I love this product!'

The sentiment",10.035845279693604,88.0,78.77,11907.0,2.3,254890.667241
classification,Classify the sentiment of the following text: 'I love this product!',Qwen/Qwen2.5-7B,Classify the sentiment of the following text: 'I love this product!' The sentiment of the text 'I love this product!' is positive.,15.942835807800291,96.0,70.11,11825.0,3.0,256006.176104
classification,Classify the sentiment of the following text: 'I love this product!',google/gemma-2-2b-it,"Classify the sentiment of the following text: 'I love this product!'

The sentiment of the",6.261213541030884,93.0,80.54,11907.0,2.6,257988.680855
classification,Classify the sentiment of the following text: 'I love this product!',mistralai/Mistral-7B-Instruct-v0.3,"Classify the sentiment of the following text: 'I love this product!'

The sentiment",9.98419427871704,88.0,66.57,11907.0,3.1,258542.148311
classification,Classify the sentiment of the following text: 'I love this product!',Qwen/Qwen2.5-7B,Classify the sentiment of the following text: 'I love this product!' The sentiment of the text 'I love this product!' is positive.,15.968850374221802,100.0,55.51,11825.0,3.1,259622.791723
classification,Classify the sentiment of the following text: 'I love this product!',google/gemma-2-2b-it,"Classify the sentiment of the following text: 'I love this product!'

The sentiment of the",6.092102289199829,100.0,60.08,11907.0,3.1,261610.963452
classification,Classify the sentiment of the following text: 'I love this product!',mistralai/Mistral-7B-Instruct-v0.3,"Classify the sentiment of the following text: 'I love this product!'

The sentiment",11.68551230430603,90.0,67.33,11907.0,3.1,262132.491719
classification,Classify the sentiment of the following text: 'I love this product!',Qwen/Qwen2.5-7B,Classify the sentiment of the following text: 'I love this product!' The sentiment of the text 'I love this product!' is positive.,16.172719717025757,95.0,59.96,11825.0,3.1,1313.79229
classification,Classify the sentiment of the following text: 'I love this product!',google/gemma-2-2b-it,"Classify the sentiment of the following text: 'I love this product!'

The sentiment of the",6.055573463439941,93.0,75.4,11907.0,2.6,3284.120926
classification,Classify the sentiment of the following text: 'I love this product!',mistralai/Mistral-7B-Instruct-v0.3,"Classify the sentiment of the following text: 'I love this product!'

The sentiment",10.092373371124268,89.0,66.15,11907.0,3.0,3808.104936
classification,Classify the sentiment of the following text: 'I love this product!',Qwen/Qwen2.5-7B,Classify the sentiment of the following text: 'I love this product!' The sentiment of the text 'I love this product!' is positive.,16.02286410331726,97.0,69.06,11825.0,3.1,4897.883152
classification,Classify the sentiment of the following text: 'I love this product!',google/gemma-2-2b-it,"Classify the sentiment of the following text: 'I love this product!'

The sentiment of the",5.9917168617248535,86.0,70.69,11907.0,2.4,6868.021114
classification,Classify the sentiment of the following text: 'I love this product!',mistralai/Mistral-7B-Instruct-v0.3,"Classify the sentiment of the following text: 'I love this product!'

The sentiment",12.094443321228027,0.0,64.3,11907.0,3.1,7394.398062
classification,Classify the sentiment of the following text: 'I love this product!',Qwen/Qwen2.5-7B,Classify the sentiment of the following text: 'I love this product!' The sentiment of the text 'I love this product!' is positive.,16.476409435272217,100.0,60.38,11825.0,3.1,8787.056301
classification,Classify the sentiment of the following text: 'I love this product!',google/gemma-2-2b-it,"Classify the sentiment of the following text: 'I love this product!'

The sentiment of the",6.259438753128052,93.0,66.55,11907.0,3.1,10796.365183
classification,Classify the sentiment of the following text: 'I love this product!',mistralai/Mistral-7B-Instruct-v0.3,"Classify the sentiment of the following text: 'I love this product!'

The sentiment",10.278935194015505,100.0,56.75,11907.0,3.2,11349.797665
classification,Classify the sentiment of the following text: 'I love this product!',Qwen/Qwen2.5-7B,Classify the sentiment of the following text: 'I love this product!' The sentiment of the text 'I love this product!' is positive.,15.757112503051758,100.0,58.45,11825.0,3.1,12468.325808
classification,Classify the sentiment of the following text: 'I love this product!',google/gemma-2-2b-it,"Classify the sentiment of the following text: 'I love this product!'

The sentiment of the",5.970813989639282,92.0,69.97,11907.0,2.6,14414.338404
classification,Classify the sentiment of the following text: 'I love this product!',mistralai/Mistral-7B-Instruct-v0.3,"Classify the sentiment of the following text: 'I love this product!'

The sentiment",10.041091680526732,85.0,66.69,11907.0,3.1,14937.139312
classification,Classify the sentiment of the following text: 'I love this product!',Qwen/Qwen2.5-7B,Classify the sentiment of the following text: 'I love this product!' The sentiment of the text 'I love this product!' is positive.,15.84566855430603,100.0,57.42,11825.0,3.2,16026.269824
classification,Classify the sentiment of the following text: 'I love this product!',google/gemma-2-2b-it,"Classify the sentiment of the following text: 'I love this product!'

The sentiment of the",6.083848237991333,93.0,72.43,11907.0,2.7,17974.92133
classification,Classify the sentiment of the following text: 'I love this product!',mistralai/Mistral-7B-Instruct-v0.3,"Classify the sentiment of the following text: 'I love this product!'

The sentiment",11.96397590637207,18.0,70.89,11907.0,3.1,18514.591335
classification,Classify the sentiment of the following text: 'I love this product!',Qwen/Qwen2.5-7B,Classify the sentiment of the following text: 'I love this product!' The sentiment of the text 'I love this product!' is positive.,16.19144344329834,0.0,70.26,11825.0,3.1,19878.227004
classification,Classify the sentiment of the following text: 'I love this product!',google/gemma-2-2b-it,"Classify the sentiment of the following text: 'I love this product!'

The sentiment of the",6.266104698181152,83.0,65.15,11907.0,3.1,21876.359157
classification,Classify the sentiment of the following text: 'I love this product!',mistralai/Mistral-7B-Instruct-v0.3,"Classify the sentiment of the following text: 'I love this product!'

The sentiment",9.987531900405884,100.0,57.02,11907.0,3.1,22434.612977
classification,Classify the sentiment of the following text: 'I love this product!',Qwen/Qwen2.5-7B,Classify the sentiment of the following text: 'I love this product!' The sentiment of the text 'I love this product!' is positive.,15.589930057525637,100.0,58.83,11825.0,3.2,23539.735209
classification,Classify the sentiment of the following text: 'I love this product!',google/gemma-2-2b-it,"Classify the sentiment of the following text: 'I love this product!'

The sentiment of the",5.915217161178589,100.0,62.94,11907.0,3.1,25488.882441
classification,Classify the sentiment of the following text: 'I love this product!',mistralai/Mistral-7B-Instruct-v0.3,"Classify the sentiment of the following text: 'I love this product!'

The sentiment",10.127408266067505,92.0,78.84,11907.0,2.5,26010.670412
classification,Classify the sentiment of the following text: 'I love this product!',Qwen/Qwen2.5-7B,Classify the sentiment of the following text: 'I love this product!' The sentiment of the text 'I love this product!' is positive.,15.941610336303713,92.0,78.68,11825.0,2.5,27122.319848
classification,Classify the sentiment of the following text: 'I love this product!',google/gemma-2-2b-it,"Classify the sentiment of the following text: 'I love this product!'

The sentiment of the",6.088550567626953,100.0,65.52,11907.0,3.1,29087.39691
classification,Classify the sentiment of the following text: 'I love this product!',mistralai/Mistral-7B-Instruct-v0.3,"Classify the sentiment of the following text: 'I love this product!'

The sentiment",13.058528184890749,100.0,64.49,11907.0,3.2,29615.354604
classification,Is the following review positive or negative? 'The service was terrible.',Qwen/Qwen2.5-7B,"Is the following review positive or negative? 'The service was terrible.' The review is negative. The person is saying that the service they received was not good.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",26.586081981658936,96.0,80.96,11825.0,2.7,31118.502428
classification,Is the following review positive or negative? 'The service was terrible.',google/gemma-2-2b-it,"Is the following review positive or negative? 'The service was terrible.'

The review is **",6.028782844543457,100.0,55.8,11907.0,3.1,34922.874708
classification,Is the following review positive or negative? 'The service was terrible.',mistralai/Mistral-7B-Instruct-v0.3,"Is the following review positive or negative? 'The service was terrible.'

This review is",10.885977268218994,32.0,63.67,11907.0,3.1,35445.073017
classification,Is the following review positive or negative? 'The service was terrible.',Qwen/Qwen2.5-7B,"Is the following review positive or negative? 'The service was terrible.' The review is negative. The person is saying that the service they received was not good.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",25.71853804588318,96.0,78.61,11825.0,2.7,36642.841008
classification,Is the following review positive or negative? 'The service was terrible.',google/gemma-2-2b-it,"Is the following review positive or negative? 'The service was terrible.'

The review is **",6.103980541229248,51.0,66.6,11907.0,3.2,40375.770783
classification,Is the following review positive or negative? 'The service was terrible.',mistralai/Mistral-7B-Instruct-v0.3,"Is the following review positive or negative? 'The service was terrible.'

This review is",10.236539125442505,84.0,78.26,11907.0,2.6,40894.949996
classification,Is the following review positive or negative? 'The service was terrible.',Qwen/Qwen2.5-7B,"Is the following review positive or negative? 'The service was terrible.' The review is negative. The person is saying that the service they received was not good.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",27.590181589126587,0.0,64.99,11825.0,3.2,42062.178453
classification,Is the following review positive or negative? 'The service was terrible.',google/gemma-2-2b-it,"Is the following review positive or negative? 'The service was terrible.'

The review is **",6.633903980255127,92.0,75.04,11907.0,2.7,46057.790539
classification,Is the following review positive or negative? 'The service was terrible.',mistralai/Mistral-7B-Instruct-v0.3,"Is the following review positive or negative? 'The service was terrible.'

This review is",10.49333357810974,86.0,66.59,11907.0,2.8,46632.231878
classification,Is the following review positive or negative? 'The service was terrible.',Qwen/Qwen2.5-7B,"Is the following review positive or negative? 'The service was terrible.' The review is negative. The person is saying that the service they received was not good.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",26.283934354782104,34.0,74.18,11825.0,3.1,47822.72407
classification,Is the following review positive or negative? 'The service was terrible.',google/gemma-2-2b-it,"Is the following review positive or negative? 'The service was terrible.'

The review is **",5.976458311080933,100.0,54.51,11907.0,3.1,51604.027683
classification,Is the following review positive or negative? 'The service was terrible.',mistralai/Mistral-7B-Instruct-v0.3,"Is the following review positive or negative? 'The service was terrible.'

This review is",10.239905834197998,100.0,61.46,11907.0,3.1,52120.104182
classification,Is the following review positive or negative? 'The service was terrible.',Qwen/Qwen2.5-7B,"Is the following review positive or negative? 'The service was terrible.' The review is negative. The person is saying that the service they received was not good.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",25.70680856704712,96.0,78.42,11825.0,2.9,53274.676482
classification,Is the following review positive or negative? 'The service was terrible.',google/gemma-2-2b-it,"Is the following review positive or negative? 'The service was terrible.'

The review is **",6.200283050537109,78.0,63.76,11907.0,3.1,57022.654619
classification,Is the following review positive or negative? 'The service was terrible.',mistralai/Mistral-7B-Instruct-v0.3,"Is the following review positive or negative? 'The service was terrible.'

This review is",12.562671661376951,92.0,78.89,11907.0,2.5,57551.526617
classification,Is the following review positive or negative? 'The service was terrible.',Qwen/Qwen2.5-7B,"Is the following review positive or negative? 'The service was terrible.' The review is negative. The person is saying that the service they received was not good.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",26.62828826904297,96.0,65.68,11825.0,3.1,58992.933511
classification,Is the following review positive or negative? 'The service was terrible.',google/gemma-2-2b-it,"Is the following review positive or negative? 'The service was terrible.'

The review is **",6.087039470672607,86.0,74.41,11907.0,2.5,62835.897367
classification,Is the following review positive or negative? 'The service was terrible.',mistralai/Mistral-7B-Instruct-v0.3,"Is the following review positive or negative? 'The service was terrible.'

This review is",10.744873523712158,84.0,72.93,11907.0,2.7,63355.924722
classification,Is the following review positive or negative? 'The service was terrible.',Qwen/Qwen2.5-7B,"Is the following review positive or negative? 'The service was terrible.' The review is negative. The person is saying that the service they received was not good.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",25.57900643348694,19.0,73.45,11825.0,3.1,64541.327327
classification,Is the following review positive or negative? 'The service was terrible.',google/gemma-2-2b-it,"Is the following review positive or negative? 'The service was terrible.'

The review is **",6.020995616912842,100.0,57.12,11907.0,3.1,68252.621476
classification,Is the following review positive or negative? 'The service was terrible.',mistralai/Mistral-7B-Instruct-v0.3,"Is the following review positive or negative? 'The service was terrible.'

This review is",10.335412979125977,100.0,52.68,11907.0,3.2,68775.999653
classification,Is the following review positive or negative? 'The service was terrible.',Qwen/Qwen2.5-7B,"Is the following review positive or negative? 'The service was terrible.' The review is negative. The person is saying that the service they received was not good.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",25.396618366241455,96.0,80.46,11825.0,2.0,69958.924481
classification,Is the following review positive or negative? 'The service was terrible.',google/gemma-2-2b-it,"Is the following review positive or negative? 'The service was terrible.'

The review is **",6.22294545173645,100.0,66.71,11907.0,3.1,73627.389455
classification,Is the following review positive or negative? 'The service was terrible.',mistralai/Mistral-7B-Instruct-v0.3,"Is the following review positive or negative? 'The service was terrible.'

This review is",10.550347566604614,13.0,57.62,11907.0,3.2,74176.336841
classification,Is the following review positive or negative? 'The service was terrible.',Qwen/Qwen2.5-7B,"Is the following review positive or negative? 'The service was terrible.' The review is negative. The person is saying that the service they received was not good.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",27.860381603240967,100.0,63.61,11825.0,3.1,75370.658368
classification,Is the following review positive or negative? 'The service was terrible.',google/gemma-2-2b-it,"Is the following review positive or negative? 'The service was terrible.'

The review is **",6.645715713500977,92.0,71.86,11907.0,2.6,79374.772935
classification,Is the following review positive or negative? 'The service was terrible.',mistralai/Mistral-7B-Instruct-v0.3,"Is the following review positive or negative? 'The service was terrible.'

This review is",10.566545248031616,92.0,66.58,11907.0,3.0,79962.748236
classification,Is the following review positive or negative? 'The service was terrible.',Qwen/Qwen2.5-7B,"Is the following review positive or negative? 'The service was terrible.' The review is negative. The person is saying that the service they received was not good.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",26.107505798339844,95.0,81.33,11825.0,2.7,81147.697778
classification,Is the following review positive or negative? 'The service was terrible.',google/gemma-2-2b-it,"Is the following review positive or negative? 'The service was terrible.'

The review is **",5.971226453781128,100.0,62.08,11907.0,3.1,84979.810893
classification,Is the following review positive or negative? 'The service was terrible.',mistralai/Mistral-7B-Instruct-v0.3,"Is the following review positive or negative? 'The service was terrible.'

This review is",10.426609754562378,88.0,75.59,11907.0,3.0,85506.933079
classification,Is the following review positive or negative? 'The service was terrible.',Qwen/Qwen2.5-7B,"Is the following review positive or negative? 'The service was terrible.' The review is negative. The person is saying that the service they received was not good.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",25.93949580192566,100.0,60.25,11825.0,3.2,86707.3542
classification,Is the following review positive or negative? 'The service was terrible.',google/gemma-2-2b-it,"Is the following review positive or negative? 'The service was terrible.'

The review is **",6.308355093002319,22.0,72.93,11907.0,2.8,90502.407168
classification,Is the following review positive or negative? 'The service was terrible.',mistralai/Mistral-7B-Instruct-v0.3,"Is the following review positive or negative? 'The service was terrible.'

This review is",10.447782039642334,86.0,77.86,11907.0,2.4,91043.82253
classification,Is the following review positive or negative? 'The service was terrible.',Qwen/Qwen2.5-7B,"Is the following review positive or negative? 'The service was terrible.' The review is negative. The person is saying that the service they received was not good.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",26.258680820465088,96.0,76.44,11825.0,2.3,92230.966891
classification,Is the following review positive or negative? 'The service was terrible.',google/gemma-2-2b-it,"Is the following review positive or negative? 'The service was terrible.'

The review is **",6.184133291244507,0.0,67.66,11907.0,3.1,96058.305725
classification,Is the following review positive or negative? 'The service was terrible.',mistralai/Mistral-7B-Instruct-v0.3,"Is the following review positive or negative? 'The service was terrible.'

This review is",12.704201459884644,88.0,77.59,11907.0,2.7,96594.414949
